frame_number,elapsed_time,process_time,label,pose_bbox,pose_track_ids,fps,image_path
0,0 days 00:00:00.083155,0 days 00:00:00.039978,[1 0 0 0 0 0 0 0],
"[array([392,  26, 461, 254], dtype=int64)
 array([534,  43, 600, 265], dtype=int64)
 array([611, 114, 686, 299], dtype=int64)
 array([556, 315, 630, 355], dtype=int64)
 array([674, 234, 703, 348], dtype=int64)
 array([123,  61, 172, 210], dtype=int64)
 array([ 64, 200, 169, 324], dtype=int64)
 array([576,  21, 609,  59], dtype=int64)]",[1 2 3 4 5 6 7 8],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00000.jpg
5,0 days 00:00:02.373610,0 days 00:00:00.021793,[1 0 0 0 0 0 0 0],"[array([392,  27, 459, 254], dtype=int64)
 array([534,  39, 597, 265], dtype=int64)
 array([623, 124, 687, 292], dtype=int64)
 array([556, 292, 632, 356], dtype=int64)
 array([678, 257, 703, 347], dtype=int64)
 array([123,  58, 173, 210], dtype=int64)
 array([ 64, 200, 169, 324], dtype=int64)
 array([576,  22, 609,  57], dtype=int64)]",[1 2 3 4 5 6 7 8],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00005.jpg
10,0 days 00:00:02.595230,0 days 00:00:00.002408,[1 0 0 0 0 0 0 0],"[array([392,  27, 459, 255], dtype=int64)
 array([534,  39, 596, 265], dtype=int64)
 array([625, 126, 687, 291], dtype=int64)
 array([556, 288, 632, 356], dtype=int64)
 array([679, 260, 703, 347], dtype=int64)
 array([123,  58, 173, 210], dtype=int64)
 array([ 64, 200, 169, 324], dtype=int64)
 array([576,  22, 609,  56], dtype=int64)]",[1 2 3 4 5 6 7 8],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00010.jpg
15,0 days 00:00:02.886607,0 days 00:00:00.000434,[1 0 0 0 0 0 0 0],"[array([392,  27, 457, 255], dtype=int64)
 array([534,  33, 598, 265], dtype=int64)
 array([631, 128, 688, 269], dtype=int64)
 array([556, 283, 631, 356], dtype=int64)
 array([683, 269, 703, 345], dtype=int64)
 array([124,  63, 173, 210], dtype=int64)
 array([ 64, 200, 168, 324], dtype=int64)
 array([577,  21, 609,  57], dtype=int64)]",[1 2 3 4 5 6 7 8],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00015.jpg
20,0 days 00:00:03.333312,0 days 00:00:00.000435,[1 0 0 0 0 0],"[array([385,  26, 456, 255], dtype=int64)
 array([534,  32, 598, 262], dtype=int64)
 array([632, 131, 689, 268], dtype=int64)
 array([557, 280, 630, 356], dtype=int64)
 array([124,  65, 173, 210], dtype=int64)
 array([ 63, 200, 168, 324], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00020.jpg
25,0 days 00:00:03.707384,0 days 00:00:00.000452,[1 0 0 0 0 0 0],"[array([376,  24, 453, 255], dtype=int64)
 array([534,  33, 597, 259], dtype=int64)
 array([632, 136, 688, 274], dtype=int64)
 array([557, 279, 628, 356], dtype=int64)
 array([125,  55, 178, 209], dtype=int64)
 array([ 63, 200, 168, 324], dtype=int64)
 array([573,  18, 609,  58], dtype=int64)]",[1 2 3 4 6 7 8],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00025.jpg
30,0 days 00:00:04.245563,0 days 00:00:00.000465,[1 0 0 0 0 0 0],"[array([368,  22, 450, 255], dtype=int64)
 array([533,  32, 596, 255], dtype=int64)
 array([630, 141, 688, 294], dtype=int64)
 array([557, 278, 628, 355], dtype=int64)
 array([126,  62, 176, 206], dtype=int64)
 array([ 63, 201, 168, 324], dtype=int64)
 array([572,  17, 609,  57], dtype=int64)]",[1 2 3 4 6 7 8],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00030.jpg
35,0 days 00:00:04.371749,0 days 00:00:00.000456,[1 0 0 0 0 0],"[array([363,  17, 444, 255], dtype=int64)
 array([528,  28, 597, 248], dtype=int64)
 array([629, 144, 690, 300], dtype=int64)
 array([558, 279, 628, 355], dtype=int64)
 array([128,  64, 176, 200], dtype=int64)
 array([ 63, 202, 168, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00035.jpg
40,0 days 00:00:04.658011,0 days 00:00:00.000448,[1 0 0 0 0 0],"[array([363,  14, 439, 255], dtype=int64)
 array([522,  33, 595, 242], dtype=int64)
 array([629, 145, 692, 307], dtype=int64)
 array([558, 279, 628, 355], dtype=int64)
 array([128,  66, 176, 197], dtype=int64)
 array([ 63, 201, 168, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00040.jpg
45,0 days 00:00:05.185195,0 days 00:00:00.000450,[1 0 0 0 0 0],"[array([363,   9, 433, 255], dtype=int64)
 array([517,  34, 593, 236], dtype=int64)
 array([630, 149, 694, 311], dtype=int64)
 array([558, 279, 628, 355], dtype=int64)
 array([129,  65, 177, 193], dtype=int64)
 array([ 63, 201, 168, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00045.jpg
50,0 days 00:00:05.545057,0 days 00:00:00.000420,[1 0 0 0 0 0],"[array([363,   6, 428, 254], dtype=int64)
 array([512,  34, 591, 235], dtype=int64)
 array([631, 154, 696, 313], dtype=int64)
 array([558, 280, 629, 355], dtype=int64)
 array([130,  65, 178, 191], dtype=int64)
 array([ 63, 201, 168, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00050.jpg
55,0 days 00:00:05.702410,0 days 00:00:00.000431,[1 0 0 0 0 0],"[array([364,   2, 422, 250], dtype=int64)
 array([511,  33, 588, 239], dtype=int64)
 array([632, 158, 701, 315], dtype=int64)
 array([558, 280, 627, 355], dtype=int64)
 array([131,  64, 178, 190], dtype=int64)
 array([ 63, 200, 168, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00055.jpg
60,0 days 00:00:05.846330,0 days 00:00:00.000451,[1 0 0 0 0 0],"[array([364,   0, 418, 243], dtype=int64)
 array([511,  31, 585, 241], dtype=int64)
 array([634, 163, 703, 315], dtype=int64)
 array([558, 281, 631, 355], dtype=int64)
 array([131,  64, 179, 190], dtype=int64)
 array([ 63, 201, 168, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00060.jpg
65,0 days 00:00:06.113174,0 days 00:00:00.000425,[1 0 0 0 0 0],"[array([364,   0, 416, 236], dtype=int64)
 array([511,  30, 581, 241], dtype=int64)
 array([636, 167, 704, 314], dtype=int64)
 array([558, 281, 629, 355], dtype=int64)
 array([131,  65, 179, 191], dtype=int64)
 array([ 63, 200, 168, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00065.jpg
70,0 days 00:00:06.625643,0 days 00:00:00.000393,[1 0 0 0 0 0],"[array([364,   0, 415, 229], dtype=int64)
 array([511,  30, 577, 232], dtype=int64)
 array([649, 170, 704, 311], dtype=int64)
 array([558, 281, 623, 355], dtype=int64)
 array([131,  65, 179, 191], dtype=int64)
 array([ 63, 200, 169, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00070.jpg
75,0 days 00:00:07.056710,0 days 00:00:00.000421,[1 0 0 0 0 0],"[array([364,   0, 416, 227], dtype=int64)
 array([511,  37, 575, 227], dtype=int64)
 array([654, 173, 704, 311], dtype=int64)
 array([558, 281, 623, 355], dtype=int64)
 array([131,  65, 179, 194], dtype=int64)
 array([ 64, 201, 169, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00075.jpg
80,0 days 00:00:07.269171,0 days 00:00:00.000427,[1 0 0 0 0 0],"[array([364,   0, 419, 227], dtype=int64)
 array([511,  38, 573, 226], dtype=int64)
 array([653, 174, 704, 311], dtype=int64)
 array([558, 281, 623, 355], dtype=int64)
 array([130,  59, 179, 195], dtype=int64)
 array([ 64, 201, 169, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00080.jpg
85,0 days 00:00:07.387568,0 days 00:00:00.000404,[1 0 0 0 0 0],"[array([364,   0, 423, 227], dtype=int64)
 array([511,  42, 571, 225], dtype=int64)
 array([651, 175, 704, 311], dtype=int64)
 array([558, 282, 623, 355], dtype=int64)
 array([131,  62, 179, 196], dtype=int64)
 array([ 64, 201, 169, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00085.jpg
90,0 days 00:00:07.939952,0 days 00:00:00.000453,[1 0 0 0 0 0],"[array([366,   0, 426, 219], dtype=int64)
 array([511,  28, 570, 225], dtype=int64)
 array([650, 177, 704, 312], dtype=int64)
 array([558, 282, 629, 355], dtype=int64)
 array([130,  59, 179, 196], dtype=int64)
 array([ 65, 201, 169, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00090.jpg
95,0 days 00:00:08.294305,0 days 00:00:00.000560,[1 0 0 0 0 0],"[array([367,   0, 428, 213], dtype=int64)
 array([511,  23, 570, 225], dtype=int64)
 array([651, 177, 704, 313], dtype=int64)
 array([558, 282, 631, 355], dtype=int64)
 array([130,  60, 179, 196], dtype=int64)
 array([ 63, 201, 169, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00095.jpg
100,0 days 00:00:08.398893,0 days 00:00:00.000415,[1 0 0 0 0 0],"[array([368,   0, 428, 210], dtype=int64)
 array([511,  21, 570, 225], dtype=int64)
 array([652, 179, 703, 312], dtype=int64)
 array([560, 282, 632, 355], dtype=int64)
 array([131,  63, 179, 196], dtype=int64)
 array([ 63, 201, 169, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00100.jpg
105,0 days 00:00:08.536246,0 days 00:00:00.000431,[1 0 0 0 0 0],"[array([369,   0, 427, 210], dtype=int64)
 array([511,  20, 570, 225], dtype=int64)
 array([653, 181, 703, 335], dtype=int64)
 array([562, 283, 631, 354], dtype=int64)
 array([130,  57, 179, 196], dtype=int64)
 array([ 64, 201, 169, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00105.jpg
110,0 days 00:00:08.639649,0 days 00:00:00.000406,[1 0 0 0 0 0],"[array([370,   0, 424, 210], dtype=int64)
 array([511,  19, 572, 225], dtype=int64)
 array([656, 184, 703, 345], dtype=int64)
 array([563, 284, 631, 354], dtype=int64)
 array([131,  63, 179, 196], dtype=int64)
 array([ 63, 201, 169, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00110.jpg
115,0 days 00:00:08.754566,0 days 00:00:00.000422,[1 0 0 0 0 0],"[array([370,   0, 423, 209], dtype=int64)
 array([511,  19, 573, 225], dtype=int64)
 array([659, 188, 703, 348], dtype=int64)
 array([564, 286, 630, 354], dtype=int64)
 array([131,  65, 179, 196], dtype=int64)
 array([ 62, 201, 169, 324], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00115.jpg
120,0 days 00:00:08.879080,0 days 00:00:00.000435,[1 0 0 0 0 0],"[array([370,   0, 422, 210], dtype=int64)
 array([511,  19, 574, 225], dtype=int64)
 array([662, 190, 703, 350], dtype=int64)
 array([565, 287, 630, 354], dtype=int64)
 array([131,  66, 179, 196], dtype=int64)
 array([ 63, 201, 169, 324], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00120.jpg
125,0 days 00:00:09.049277,0 days 00:00:00.000434,[1 0 0 0 0 0],"[array([370,   0, 422, 211], dtype=int64)
 array([511,  21, 574, 224], dtype=int64)
 array([666, 192, 703, 350], dtype=int64)
 array([565, 288, 630, 354], dtype=int64)
 array([131,  66, 179, 196], dtype=int64)
 array([ 63, 201, 169, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00125.jpg
130,0 days 00:00:09.137721,0 days 00:00:00.000403,[1 0 0 0 0 0],"[array([370,   0, 422, 215], dtype=int64)
 array([511,  22, 573, 224], dtype=int64)
 array([665, 195, 703, 350], dtype=int64)
 array([565, 289, 630, 354], dtype=int64)
 array([131,  66, 179, 196], dtype=int64)
 array([ 62, 201, 169, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00130.jpg
135,0 days 00:00:09.299315,0 days 00:00:00.000424,[1 0 0 0 0 0],"[array([370,   0, 424, 221], dtype=int64)
 array([511,  23, 572, 224], dtype=int64)
 array([669, 201, 703, 349], dtype=int64)
 array([565, 289, 630, 354], dtype=int64)
 array([131,  66, 179, 196], dtype=int64)
 array([ 62, 201, 169, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00135.jpg
140,0 days 00:00:09.465383,0 days 00:00:00.000446,[1 0 0 0 0 0],"[array([370,   0, 424, 223], dtype=int64)
 array([511,  27, 572, 223], dtype=int64)
 array([671, 207, 703, 349], dtype=int64)
 array([565, 289, 630, 354], dtype=int64)
 array([131,  66, 179, 196], dtype=int64)
 array([ 63, 200, 169, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00140.jpg
145,0 days 00:00:09.604992,0 days 00:00:00.000404,[1 0 0 0 0 0],"[array([370,   0, 428, 224], dtype=int64)
 array([511,  24, 573, 223], dtype=int64)
 array([672, 209, 703, 349], dtype=int64)
 array([565, 289, 630, 354], dtype=int64)
 array([131,  66, 179, 196], dtype=int64)
 array([ 63, 201, 169, 325], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00145.jpg
150,0 days 00:00:09.940022,0 days 00:00:00.000462,[1 0 0 0 0 0],"[array([371,   0, 430, 224], dtype=int64)
 array([511,  23, 574, 222], dtype=int64)
 array([671, 213, 703, 349], dtype=int64)
 array([565, 288, 631, 354], dtype=int64)
 array([131,  66, 179, 197], dtype=int64)
 array([ 64, 204, 169, 328], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00150.jpg
155,0 days 00:00:10.516970,0 days 00:00:00.000416,[1 0 0 0 0 0],"[array([377,   0, 433, 224], dtype=int64)
 array([511,  22, 574, 222], dtype=int64)
 array([669, 214, 703, 349], dtype=int64)
 array([565, 287, 631, 354], dtype=int64)
 array([131,  66, 179, 199], dtype=int64)
 array([ 65, 203, 168, 342], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00155.jpg
160,0 days 00:00:10.768604,0 days 00:00:00.000416,[1 0 0 0 0 0],"[array([383,   0, 436, 224], dtype=int64)
 array([511,  21, 574, 222], dtype=int64)
 array([666, 212, 703, 348], dtype=int64)
 array([564, 286, 632, 354], dtype=int64)
 array([131,  66, 179, 201], dtype=int64)
 array([ 66, 203, 167, 349], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00160.jpg
165,0 days 00:00:10.989133,0 days 00:00:00.000447,[1 0 0 0 0 0],"[array([385,   0, 439, 224], dtype=int64)
 array([511,  20, 575, 222], dtype=int64)
 array([667, 211, 703, 349], dtype=int64)
 array([564, 284, 633, 354], dtype=int64)
 array([131,  66, 179, 203], dtype=int64)
 array([ 65, 203, 166, 353], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00165.jpg
170,0 days 00:00:11.268428,0 days 00:00:00.000456,[1 0 0 0 0 0],"[array([386,   0, 442, 224], dtype=int64)
 array([511,  19, 575, 222], dtype=int64)
 array([666, 211, 703, 349], dtype=int64)
 array([563, 283, 632, 354], dtype=int64)
 array([130,  52, 181, 203], dtype=int64)
 array([ 65, 216, 165, 354], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00170.jpg
175,0 days 00:00:11.478498,0 days 00:00:00.000428,[1 0 0 0 0 0],"[array([386,   0, 446, 224], dtype=int64)
 array([511,  19, 575, 221], dtype=int64)
 array([664, 213, 703, 320], dtype=int64)
 array([563, 282, 633, 354], dtype=int64)
 array([129,  46, 182, 203], dtype=int64)
 array([ 65, 209, 164, 353], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00175.jpg
180,0 days 00:00:11.779292,0 days 00:00:00.000516,[1 0 0 0 0 0],"[array([386,   0, 449, 224], dtype=int64)
 array([511,  20, 574, 221], dtype=int64)
 array([664, 213, 703, 309], dtype=int64)
 array([562, 281, 633, 355], dtype=int64)
 array([130,  45, 182, 204], dtype=int64)
 array([ 65, 225, 163, 353], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00180.jpg
185,0 days 00:00:12.387775,0 days 00:00:00.000414,[1 0 0 0 0 0],"[array([389,   0, 451, 226], dtype=int64)
 array([511,  21, 573, 221], dtype=int64)
 array([664, 212, 703, 306], dtype=int64)
 array([562, 280, 632, 355], dtype=int64)
 array([129,  43, 182, 204], dtype=int64)
 array([ 65, 233, 163, 353], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00185.jpg
190,0 days 00:00:12.584794,0 days 00:00:00.000423,[1 0 0 0 0 0],"[array([395,   1, 454, 230], dtype=int64)
 array([511,  28, 571, 221], dtype=int64)
 array([664, 211, 703, 305], dtype=int64)
 array([561, 279, 632, 355], dtype=int64)
 array([129,  43, 182, 205], dtype=int64)
 array([ 67, 237, 162, 353], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00190.jpg
195,0 days 00:00:12.755602,0 days 00:00:00.000407,[1 0 0 0 0 0],"[array([399,   3, 456, 242], dtype=int64)
 array([511,  23, 570, 219], dtype=int64)
 array([664, 211, 703, 335], dtype=int64)
 array([556, 277, 632, 355], dtype=int64)
 array([130,  58, 179, 207], dtype=int64)
 array([ 66, 233, 162, 354], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00195.jpg
200,0 days 00:00:12.901069,0 days 00:00:00.000418,[1 0 0 0 0 0],"[array([400,   4, 460, 249], dtype=int64)
 array([509,  19, 569, 217], dtype=int64)
 array([664, 211, 703, 345], dtype=int64)
 array([551, 277, 631, 356], dtype=int64)
 array([131,  63, 178, 207], dtype=int64)
 array([ 66, 238, 163, 353], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00200.jpg
205,0 days 00:00:13.018710,0 days 00:00:00.000415,[1 0 0 0 0 0],"[array([401,   6, 461, 255], dtype=int64)
 array([505,  18, 568, 215], dtype=int64)
 array([664, 212, 703, 348], dtype=int64)
 array([550, 276, 632, 356], dtype=int64)
 array([131,  65, 177, 206], dtype=int64)
 array([ 65, 240, 163, 353], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00205.jpg
210,0 days 00:00:13.186881,0 days 00:00:00.000442,[1 0 0 0 0 0],"[array([401,   8, 462, 256], dtype=int64)
 array([502,  19, 567, 214], dtype=int64)
 array([664, 212, 703, 350], dtype=int64)
 array([557, 276, 635, 355], dtype=int64)
 array([130,  51, 181, 205], dtype=int64)
 array([ 65, 243, 163, 353], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00210.jpg
215,0 days 00:00:13.524424,0 days 00:00:00.000423,[1 0 0 0 0 0],"[array([401,  10, 461, 256], dtype=int64)
 array([501,  18, 566, 214], dtype=int64)
 array([666, 211, 703, 351], dtype=int64)
 array([560, 276, 633, 355], dtype=int64)
 array([129,  46, 182, 206], dtype=int64)
 array([ 64, 221, 162, 353], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00215.jpg
220,0 days 00:00:13.727612,0 days 00:00:00.000417,[1 0 0 0 0 0],"[array([401,  12, 463, 256], dtype=int64)
 array([500,  19, 564, 215], dtype=int64)
 array([667, 211, 703, 351], dtype=int64)
 array([561, 276, 632, 355], dtype=int64)
 array([129,  44, 183, 206], dtype=int64)
 array([ 65, 213, 162, 353], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00220.jpg
225,0 days 00:00:14.051769,0 days 00:00:00.000421,[1 0 0 0 0 0],"[array([401,  14, 463, 256], dtype=int64)
 array([499,  23, 562, 215], dtype=int64)
 array([666, 210, 703, 352], dtype=int64)
 array([562, 275, 630, 354], dtype=int64)
 array([129,  44, 183, 205], dtype=int64)
 array([ 66, 209, 162, 354], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00225.jpg
230,0 days 00:00:14.448607,0 days 00:00:00.000404,[1 0 0 0 0 0],"[array([400,  16, 463, 255], dtype=int64)
 array([499,  27, 561, 215], dtype=int64)
 array([665, 209, 703, 351], dtype=int64)
 array([562, 275, 630, 354], dtype=int64)
 array([129,  43, 183, 204], dtype=int64)
 array([ 66, 208, 163, 353], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00230.jpg
235,0 days 00:00:14.730555,0 days 00:00:00.000414,[1 0 0 0 0 0],"[array([402,  18, 465, 250], dtype=int64)
 array([499,  31, 560, 216], dtype=int64)
 array([663, 208, 703, 350], dtype=int64)
 array([562, 276, 630, 354], dtype=int64)
 array([129,  43, 183, 204], dtype=int64)
 array([ 67, 208, 163, 354], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00235.jpg
240,0 days 00:00:15.354605,0 days 00:00:00.000431,[1 0 0 0 0 0],"[array([403,  26, 465, 248], dtype=int64)
 array([495,  33, 560, 215], dtype=int64)
 array([662, 207, 703, 324], dtype=int64)
 array([562, 277, 631, 354], dtype=int64)
 array([129,  43, 182, 204], dtype=int64)
 array([ 67, 207, 163, 353], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00240.jpg
245,0 days 00:00:15.665683,0 days 00:00:00.000434,[1 0 0 0 0 0],"[array([403,  40, 460, 246], dtype=int64)
 array([486,  35, 559, 216], dtype=int64)
 array([661, 208, 703, 313], dtype=int64)
 array([562, 278, 631, 355], dtype=int64)
 array([128,  42, 182, 204], dtype=int64)
 array([ 67, 207, 163, 353], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00245.jpg
250,0 days 00:00:16.121801,0 days 00:00:00.000435,[1 0 0 0 0 0],"[array([403,  46, 461, 245], dtype=int64)
 array([481,  36, 558, 216], dtype=int64)
 array([662, 206, 703, 310], dtype=int64)
 array([563, 279, 630, 354], dtype=int64)
 array([128,  42, 182, 203], dtype=int64)
 array([ 68, 208, 163, 353], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00250.jpg
255,0 days 00:00:16.419922,0 days 00:00:00.000444,[1 0 0 0 0 0],"[array([403,  48, 464, 244], dtype=int64)
 array([479,  32, 557, 216], dtype=int64)
 array([662, 205, 703, 337], dtype=int64)
 array([564, 280, 630, 357], dtype=int64)
 array([128,  42, 182, 203], dtype=int64)
 array([ 68, 208, 163, 353], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00255.jpg
260,0 days 00:00:16.740510,0 days 00:00:00.000434,[1 0 0 0 0 0],"[array([403,  47, 468, 244], dtype=int64)
 array([478,  27, 555, 216], dtype=int64)
 array([662, 205, 703, 345], dtype=int64)
 array([564, 280, 630, 358], dtype=int64)
 array([128,  43, 181, 203], dtype=int64)
 array([ 68, 208, 163, 352], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00260.jpg
265,0 days 00:00:16.882487,0 days 00:00:00.000418,[1 0 0 0 0 0],"[array([405,  46, 472, 244], dtype=int64)
 array([478,  22, 552, 216], dtype=int64)
 array([665, 205, 703, 349], dtype=int64)
 array([564, 281, 630, 359], dtype=int64)
 array([128,  43, 181, 203], dtype=int64)
 array([ 69, 208, 163, 353], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00265.jpg
270,0 days 00:00:17.031646,0 days 00:00:00.000404,[1 0 0 0 0 0],"[array([410,  45, 479, 244], dtype=int64)
 array([478,  23, 549, 216], dtype=int64)
 array([667, 205, 703, 351], dtype=int64)
 array([564, 281, 630, 362], dtype=int64)
 array([128,  43, 181, 203], dtype=int64)
 array([ 68, 209, 163, 353], dtype=int64)]",[1 2 3 4 6 7],8,./results/cctv-seg-1/13/01-jan/Channel 13 1800hrs to 1900hrs_anonymized_processed/image/00270.jpg
